People,Families,Locations,Events,TextChunk
George Huynh,Customer Success,"Ho Chi Minh City, Vietnam",Completed AWS Cloud Practitioner Certification,"George Huynh is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently completed aws cloud practitioner certification."
Quinn Pham,Customer Success,"Sydney, Australia",Completed Leadership Training Bootcamp,"Quinn Pham is part of the Customer Success team, based in Sydney, Australia, and recently completed leadership training bootcamp."
Paul Truong,Finance,"Shanghai, China",Finished Data Analytics with Python Course,"Paul Truong is part of the Finance team, based in Shanghai, China, and recently finished data analytics with python course."
Quinn Ngo,Finance,"Hanoi, Vietnam",Joined International Business Roundtable,"Quinn Ngo is part of the Finance team, based in Hanoi, Vietnam, and recently joined international business roundtable."
Samuel Nguyen,Finance,"Jakarta, Indonesia",Completed Advanced Cybersecurity Training,"Samuel Nguyen is part of the Finance team, based in Jakarta, Indonesia, and recently completed advanced cybersecurity training."
Nathan Huynh,Customer Success,"Paris, France",Attended AI for Business Leaders Webinar,"Nathan Huynh is part of the Customer Success team, based in Paris, France, and recently attended ai for business leaders webinar."
Samuel Trinh,Sales,"London, UK",Joined International Business Roundtable,"Samuel Trinh is part of the Sales team, based in London, UK, and recently joined international business roundtable."
Paul Ta,Management,"Tokyo, Japan",Attended AI for Business Leaders Webinar,"Paul Ta is part of the Management team, based in Tokyo, Japan, and recently attended ai for business leaders webinar."
Alice Ly,Human Resources,"Ho Chi Minh City, Vietnam",Participated in Corporate Social Responsibility Event,"Alice Ly is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently participated in corporate social responsibility event."
Julia Truong,Human Resources,"Jakarta, Indonesia",Attended Agile Project Management Workshop,"Julia Truong is part of the Human Resources team, based in Jakarta, Indonesia, and recently attended agile project management workshop."
Kevin Ton,Marketing,"New Delhi, India",Engaged in Blockchain for Finance Webinar,"Kevin Ton is part of the Marketing team, based in New Delhi, India, and recently engaged in blockchain for finance webinar."
Laura Do,Engineering,"Shanghai, China",Finished Data Analytics with Python Course,"Laura Do is part of the Engineering team, based in Shanghai, China, and recently finished data analytics with python course."
Victor Ngo,Management,"London, UK",Attended Remote Work Productivity Webinar,"Victor Ngo is part of the Management team, based in London, UK, and recently attended remote work productivity webinar."
Nathan Ton,Engineering,"Bangkok, Thailand",Engaged in Blockchain for Finance Webinar,"Nathan Ton is part of the Engineering team, based in Bangkok, Thailand, and recently engaged in blockchain for finance webinar."
Rachel Ton,Human Resources,"Melbourne, Australia",Attended UX/UI Design Masterclass,"Rachel Ton is part of the Human Resources team, based in Melbourne, Australia, and recently attended ux/ui design masterclass."
Laura Huynh,Engineering,"Da Nang, Vietnam",Attended Agile Project Management Workshop,"Laura Huynh is part of the Engineering team, based in Da Nang, Vietnam, and recently attended agile project management workshop."
Charlie Ta,Data Science,"Manila, Philippines",Attended Remote Work Productivity Webinar,"Charlie Ta is part of the Data Science team, based in Manila, Philippines, and recently attended remote work productivity webinar."
Tina Tran,Product,"Bangalore, India",Joined International Business Roundtable,"Tina Tran is part of the Product team, based in Bangalore, India, and recently joined international business roundtable."
Laura Luong,Engineering,"Shanghai, China",Completed Leadership Training Bootcamp,"Laura Luong is part of the Engineering team, based in Shanghai, China, and recently completed leadership training bootcamp."
Victor Do,Operations,"Beijing, China",Completed Leadership Training Bootcamp,"Victor Do is part of the Operations team, based in Beijing, China, and recently completed leadership training bootcamp."
Rachel Luong,Human Resources,"Da Nang, Vietnam",Finished Data Analytics with Python Course,"Rachel Luong is part of the Human Resources team, based in Da Nang, Vietnam, and recently finished data analytics with python course."
Nathan Hoang,Customer Success,"Paris, France",Spoke at the Annual Finance Forum,"Nathan Hoang is part of the Customer Success team, based in Paris, France, and recently spoke at the annual finance forum."
Edward Mai,Finance,Singapore,Engaged in Blockchain for Finance Webinar,"Edward Mai is part of the Finance team, based in Singapore, and recently engaged in blockchain for finance webinar."
Nathan Hoang,Sales,"Bangalore, India",Volunteered at Community Tech Fair,"Nathan Hoang is part of the Sales team, based in Bangalore, India, and recently volunteered at community tech fair."
Charlie Vu,Data Science,"Manila, Philippines",Completed Emotional Intelligence Training,"Charlie Vu is part of the Data Science team, based in Manila, Philippines, and recently completed emotional intelligence training."
Samuel Phan,Sales,"London, UK",Completed Leadership Training Bootcamp,"Samuel Phan is part of the Sales team, based in London, UK, and recently completed leadership training bootcamp."
Charlie Ly,Engineering,"Tokyo, Japan",Joined Global Marketing Summit,"Charlie Ly is part of the Engineering team, based in Tokyo, Japan, and recently joined global marketing summit."
Nathan Ly,Marketing,"Shanghai, China",Joined Global Marketing Summit,"Nathan Ly is part of the Marketing team, based in Shanghai, China, and recently joined global marketing summit."
Fiona Ta,Data Science,"Paris, France",Completed AWS Cloud Practitioner Certification,"Fiona Ta is part of the Data Science team, based in Paris, France, and recently completed aws cloud practitioner certification."
Victor Luong,Sales,"Ho Chi Minh City, Vietnam",Participated in Corporate Social Responsibility Event,"Victor Luong is part of the Sales team, based in Ho Chi Minh City, Vietnam, and recently participated in corporate social responsibility event."
Julia Trinh,Product,"Manila, Philippines",Finished Data Analytics with Python Course,"Julia Trinh is part of the Product team, based in Manila, Philippines, and recently finished data analytics with python course."
Kevin Vu,Management,"Berlin, Germany",Completed Advanced Cybersecurity Training,"Kevin Vu is part of the Management team, based in Berlin, Germany, and recently completed advanced cybersecurity training."
Julia Ta,Data Science,"Kuala Lumpur, Malaysia",Completed Emotional Intelligence Training,"Julia Ta is part of the Data Science team, based in Kuala Lumpur, Malaysia, and recently completed emotional intelligence training."
Samuel Pham,Sales,"Ho Chi Minh City, Vietnam",Participated in Regional Hackathon 2024,"Samuel Pham is part of the Sales team, based in Ho Chi Minh City, Vietnam, and recently participated in regional hackathon 2024."
Tina Ta,Customer Success,"Berlin, Germany",Completed Advanced Cybersecurity Training,"Tina Ta is part of the Customer Success team, based in Berlin, Germany, and recently completed advanced cybersecurity training."
Alice Luong,Data Science,"Beijing, China",Completed Emotional Intelligence Training,"Alice Luong is part of the Data Science team, based in Beijing, China, and recently completed emotional intelligence training."
Nathan Nguyen,Customer Success,"Kuala Lumpur, Malaysia",Attended UX/UI Design Masterclass,"Nathan Nguyen is part of the Customer Success team, based in Kuala Lumpur, Malaysia, and recently attended ux/ui design masterclass."
Hannah Bui,Human Resources,"Mumbai, India",Attended AI for Business Leaders Webinar,"Hannah Bui is part of the Human Resources team, based in Mumbai, India, and recently attended ai for business leaders webinar."
Fiona Ngo,Finance,"Melbourne, Australia",Engaged in Blockchain for Finance Webinar,"Fiona Ngo is part of the Finance team, based in Melbourne, Australia, and recently engaged in blockchain for finance webinar."
Diana Truong,Operations,Singapore,Joined Team Building Offsite in Da Nang,"Diana Truong is part of the Operations team, based in Singapore, and recently joined team building offsite in da nang."
Kevin Chau,Legal,"New Delhi, India",Participated in Corporate Social Responsibility Event,"Kevin Chau is part of the Legal team, based in New Delhi, India, and recently participated in corporate social responsibility event."
Paul Le,Management,"Seoul, South Korea",Presented at Internal Innovation Day,"Paul Le is part of the Management team, based in Seoul, South Korea, and recently presented at internal innovation day."
Alice Truong,Finance,"Jakarta, Indonesia",Completed AWS Cloud Practitioner Certification,"Alice Truong is part of the Finance team, based in Jakarta, Indonesia, and recently completed aws cloud practitioner certification."
Tina Mai,Management,"Tokyo, Japan",Joined Cross-Cultural Communication Workshop,"Tina Mai is part of the Management team, based in Tokyo, Japan, and recently joined cross-cultural communication workshop."
Quinn Chau,Finance,"Ho Chi Minh City, Vietnam",Joined Team Building Offsite in Da Nang,"Quinn Chau is part of the Finance team, based in Ho Chi Minh City, Vietnam, and recently joined team building offsite in da nang."
Edward Truong,Finance,"Jakarta, Indonesia",Attended AI for Business Leaders Webinar,"Edward Truong is part of the Finance team, based in Jakarta, Indonesia, and recently attended ai for business leaders webinar."
Tina Ta,Data Science,"Bangalore, India",Completed Leadership Training Bootcamp,"Tina Ta is part of the Data Science team, based in Bangalore, India, and recently completed leadership training bootcamp."
Paul Ngo,Product,"Bangalore, India",Presented at Machine Learning Meetup,"Paul Ngo is part of the Product team, based in Bangalore, India, and recently presented at machine learning meetup."
Diana Ton,Finance,"Manila, Philippines",Attended Remote Work Productivity Webinar,"Diana Ton is part of the Finance team, based in Manila, Philippines, and recently attended remote work productivity webinar."
Isaac Vu,Operations,"Bangkok, Thailand",Participated in Corporate Social Responsibility Event,"Isaac Vu is part of the Operations team, based in Bangkok, Thailand, and recently participated in corporate social responsibility event."
Tina Ta,Legal,Singapore,Attended Agile Project Management Workshop,"Tina Ta is part of the Legal team, based in Singapore, and recently attended agile project management workshop."
Olivia Vu,Operations,"Shanghai, China",Participated in Corporate Social Responsibility Event,"Olivia Vu is part of the Operations team, based in Shanghai, China, and recently participated in corporate social responsibility event."
Olivia Truong,Sales,Singapore,Volunteered at Community Tech Fair,"Olivia Truong is part of the Sales team, based in Singapore, and recently volunteered at community tech fair."
Fiona Nguyen,Finance,"Beijing, China",Completed Leadership Training Bootcamp,"Fiona Nguyen is part of the Finance team, based in Beijing, China, and recently completed leadership training bootcamp."
George Pham,Human Resources,"Melbourne, Australia",Attended UX/UI Design Masterclass,"George Pham is part of the Human Resources team, based in Melbourne, Australia, and recently attended ux/ui design masterclass."
Paul Le,Product,"Melbourne, Australia",Finished Data Analytics with Python Course,"Paul Le is part of the Product team, based in Melbourne, Australia, and recently finished data analytics with python course."
Tina Do,Finance,"Beijing, China",Participated in Corporate Social Responsibility Event,"Tina Do is part of the Finance team, based in Beijing, China, and recently participated in corporate social responsibility event."
Fiona Luong,Management,"Kuala Lumpur, Malaysia",Finished Data Analytics with Python Course,"Fiona Luong is part of the Management team, based in Kuala Lumpur, Malaysia, and recently finished data analytics with python course."
Victor Vu,Legal,"Manila, Philippines",Joined Team Building Offsite in Da Nang,"Victor Vu is part of the Legal team, based in Manila, Philippines, and recently joined team building offsite in da nang."
Fiona Mai,Human Resources,"Bangalore, India",Engaged in Blockchain for Finance Webinar,"Fiona Mai is part of the Human Resources team, based in Bangalore, India, and recently engaged in blockchain for finance webinar."
Victor Truong,Marketing,"Shanghai, China",Completed Advanced Cybersecurity Training,"Victor Truong is part of the Marketing team, based in Shanghai, China, and recently completed advanced cybersecurity training."
Bob Dang,Data Science,"Paris, France",Completed Leadership Training Bootcamp,"Bob Dang is part of the Data Science team, based in Paris, France, and recently completed leadership training bootcamp."
George Ton,Management,"Ho Chi Minh City, Vietnam",Joined Cross-Cultural Communication Workshop,"George Ton is part of the Management team, based in Ho Chi Minh City, Vietnam, and recently joined cross-cultural communication workshop."
Edward Ta,Management,"Sydney, Australia",Engaged in Blockchain for Finance Webinar,"Edward Ta is part of the Management team, based in Sydney, Australia, and recently engaged in blockchain for finance webinar."
Fiona Tran,Sales,"Melbourne, Australia",Attended Agile Project Management Workshop,"Fiona Tran is part of the Sales team, based in Melbourne, Australia, and recently attended agile project management workshop."
Victor Mai,Operations,"Tokyo, Japan",Participated in Regional Hackathon 2024,"Victor Mai is part of the Operations team, based in Tokyo, Japan, and recently participated in regional hackathon 2024."
Victor Tran,Product,"Seoul, South Korea",Presented at Internal Innovation Day,"Victor Tran is part of the Product team, based in Seoul, South Korea, and recently presented at internal innovation day."
Quinn Chau,Marketing,"Beijing, China",Presented at Machine Learning Meetup,"Quinn Chau is part of the Marketing team, based in Beijing, China, and recently presented at machine learning meetup."
Bob Tran,Legal,"Kuala Lumpur, Malaysia",Joined Global Marketing Summit,"Bob Tran is part of the Legal team, based in Kuala Lumpur, Malaysia, and recently joined global marketing summit."
Isaac Do,Engineering,"Sydney, Australia",Attended UX/UI Design Masterclass,"Isaac Do is part of the Engineering team, based in Sydney, Australia, and recently attended ux/ui design masterclass."
Hannah Mai,Operations,"Da Nang, Vietnam",Completed Advanced Cybersecurity Training,"Hannah Mai is part of the Operations team, based in Da Nang, Vietnam, and recently completed advanced cybersecurity training."
Julia Ly,Data Science,"Melbourne, Australia",Participated in Regional Hackathon 2024,"Julia Ly is part of the Data Science team, based in Melbourne, Australia, and recently participated in regional hackathon 2024."
Kevin Vu,Finance,"Melbourne, Australia",Joined Team Building Offsite in Da Nang,"Kevin Vu is part of the Finance team, based in Melbourne, Australia, and recently joined team building offsite in da nang."
Paul Truong,Engineering,"Hanoi, Vietnam",Attended UX/UI Design Masterclass,"Paul Truong is part of the Engineering team, based in Hanoi, Vietnam, and recently attended ux/ui design masterclass."
Tina Ly,Marketing,"London, UK",Attended UX/UI Design Masterclass,"Tina Ly is part of the Marketing team, based in London, UK, and recently attended ux/ui design masterclass."
Tina Nguyen,Management,"Bangalore, India",Finished Data Analytics with Python Course,"Tina Nguyen is part of the Management team, based in Bangalore, India, and recently finished data analytics with python course."
Hannah Huynh,Data Science,"Berlin, Germany",Attended Remote Work Productivity Webinar,"Hannah Huynh is part of the Data Science team, based in Berlin, Germany, and recently attended remote work productivity webinar."
Alice Do,Legal,"Hanoi, Vietnam",Attended AI for Business Leaders Webinar,"Alice Do is part of the Legal team, based in Hanoi, Vietnam, and recently attended ai for business leaders webinar."
Samuel Luong,Data Science,"Manila, Philippines",Finished Data Analytics with Python Course,"Samuel Luong is part of the Data Science team, based in Manila, Philippines, and recently finished data analytics with python course."
Isaac Vu,Finance,"Paris, France",Spoke at the Annual Finance Forum,"Isaac Vu is part of the Finance team, based in Paris, France, and recently spoke at the annual finance forum."
Isaac Ngo,Engineering,"Sydney, Australia",Completed AWS Cloud Practitioner Certification,"Isaac Ngo is part of the Engineering team, based in Sydney, Australia, and recently completed aws cloud practitioner certification."
Edward Ton,Sales,"New Delhi, India",Finished Data Analytics with Python Course,"Edward Ton is part of the Sales team, based in New Delhi, India, and recently finished data analytics with python course."
Victor Ngo,Product,"Da Nang, Vietnam",Completed Leadership Training Bootcamp,"Victor Ngo is part of the Product team, based in Da Nang, Vietnam, and recently completed leadership training bootcamp."
Samuel Vu,Sales,"Seoul, South Korea",Completed Advanced Cybersecurity Training,"Samuel Vu is part of the Sales team, based in Seoul, South Korea, and recently completed advanced cybersecurity training."
Samuel Bui,Sales,"Da Nang, Vietnam",Completed Emotional Intelligence Training,"Samuel Bui is part of the Sales team, based in Da Nang, Vietnam, and recently completed emotional intelligence training."
Laura Truong,Operations,"Tokyo, Japan",Participated in Corporate Social Responsibility Event,"Laura Truong is part of the Operations team, based in Tokyo, Japan, and recently participated in corporate social responsibility event."
Diana Vu,Marketing,"London, UK",Engaged in Blockchain for Finance Webinar,"Diana Vu is part of the Marketing team, based in London, UK, and recently engaged in blockchain for finance webinar."
Diana Pham,Engineering,"New Delhi, India",Presented at Internal Innovation Day,"Diana Pham is part of the Engineering team, based in New Delhi, India, and recently presented at internal innovation day."
Kevin Hoang,Engineering,"Shanghai, China",Spoke at the Annual Finance Forum,"Kevin Hoang is part of the Engineering team, based in Shanghai, China, and recently spoke at the annual finance forum."
Victor Truong,Engineering,"Manila, Philippines",Finished Data Analytics with Python Course,"Victor Truong is part of the Engineering team, based in Manila, Philippines, and recently finished data analytics with python course."
Edward Do,Operations,"Da Nang, Vietnam",Volunteered at Community Tech Fair,"Edward Do is part of the Operations team, based in Da Nang, Vietnam, and recently volunteered at community tech fair."
Edward Chau,Sales,"Sydney, Australia",Presented at Internal Innovation Day,"Edward Chau is part of the Sales team, based in Sydney, Australia, and recently presented at internal innovation day."
Julia Ta,Engineering,"Shanghai, China",Volunteered at Community Tech Fair,"Julia Ta is part of the Engineering team, based in Shanghai, China, and recently volunteered at community tech fair."
Nathan Ta,Operations,"Beijing, China",Presented at Machine Learning Meetup,"Nathan Ta is part of the Operations team, based in Beijing, China, and recently presented at machine learning meetup."
Hannah Ta,Product,"Manila, Philippines",Attended Remote Work Productivity Webinar,"Hannah Ta is part of the Product team, based in Manila, Philippines, and recently attended remote work productivity webinar."
Charlie Ly,Legal,"New Delhi, India",Completed Leadership Training Bootcamp,"Charlie Ly is part of the Legal team, based in New Delhi, India, and recently completed leadership training bootcamp."
Nathan Truong,Data Science,"Beijing, China",Completed Advanced Cybersecurity Training,"Nathan Truong is part of the Data Science team, based in Beijing, China, and recently completed advanced cybersecurity training."
Fiona Tran,Product,"Tokyo, Japan",Attended Remote Work Productivity Webinar,"Fiona Tran is part of the Product team, based in Tokyo, Japan, and recently attended remote work productivity webinar."
Olivia Huynh,Legal,"Manila, Philippines",Volunteered at Community Tech Fair,"Olivia Huynh is part of the Legal team, based in Manila, Philippines, and recently volunteered at community tech fair."
Paul Le,Finance,"Melbourne, Australia",Presented at Internal Innovation Day,"Paul Le is part of the Finance team, based in Melbourne, Australia, and recently presented at internal innovation day."
Olivia Vu,Legal,"Sydney, Australia",Volunteered at Community Tech Fair,"Olivia Vu is part of the Legal team, based in Sydney, Australia, and recently volunteered at community tech fair."
Samuel Ton,Sales,"Berlin, Germany",Volunteered at Community Tech Fair,"Samuel Ton is part of the Sales team, based in Berlin, Germany, and recently volunteered at community tech fair."
Samuel Nguyen,Customer Success,"London, UK",Joined Team Building Offsite in Da Nang,"Samuel Nguyen is part of the Customer Success team, based in London, UK, and recently joined team building offsite in da nang."
Hannah Trinh,Management,"Manila, Philippines",Participated in Regional Hackathon 2024,"Hannah Trinh is part of the Management team, based in Manila, Philippines, and recently participated in regional hackathon 2024."
Hannah Phan,Sales,"Shanghai, China",Joined Global Marketing Summit,"Hannah Phan is part of the Sales team, based in Shanghai, China, and recently joined global marketing summit."
Paul Dang,Management,"Paris, France",Presented at Internal Innovation Day,"Paul Dang is part of the Management team, based in Paris, France, and recently presented at internal innovation day."
Isaac Nguyen,Customer Success,"Bangalore, India",Volunteered at Community Tech Fair,"Isaac Nguyen is part of the Customer Success team, based in Bangalore, India, and recently volunteered at community tech fair."
Paul Mai,Engineering,Singapore,Presented at Internal Innovation Day,"Paul Mai is part of the Engineering team, based in Singapore, and recently presented at internal innovation day."
Victor Ngo,Marketing,"Melbourne, Australia",Finished Data Analytics with Python Course,"Victor Ngo is part of the Marketing team, based in Melbourne, Australia, and recently finished data analytics with python course."
George Ngo,Customer Success,Singapore,Participated in Corporate Social Responsibility Event,"George Ngo is part of the Customer Success team, based in Singapore, and recently participated in corporate social responsibility event."
Samuel Ta,Management,"Bangalore, India",Presented at Machine Learning Meetup,"Samuel Ta is part of the Management team, based in Bangalore, India, and recently presented at machine learning meetup."
Alice Ton,Customer Success,"Melbourne, Australia",Completed Emotional Intelligence Training,"Alice Ton is part of the Customer Success team, based in Melbourne, Australia, and recently completed emotional intelligence training."
Quinn Chau,Customer Success,"Mumbai, India",Volunteered at Community Tech Fair,"Quinn Chau is part of the Customer Success team, based in Mumbai, India, and recently volunteered at community tech fair."
Diana Do,Operations,"Manila, Philippines",Engaged in Blockchain for Finance Webinar,"Diana Do is part of the Operations team, based in Manila, Philippines, and recently engaged in blockchain for finance webinar."
Samuel Truong,Engineering,"Sydney, Australia",Completed Leadership Training Bootcamp,"Samuel Truong is part of the Engineering team, based in Sydney, Australia, and recently completed leadership training bootcamp."
Nathan Nguyen,Customer Success,"Bangkok, Thailand",Joined Team Building Offsite in Da Nang,"Nathan Nguyen is part of the Customer Success team, based in Bangkok, Thailand, and recently joined team building offsite in da nang."
Samuel Pham,Legal,"Ho Chi Minh City, Vietnam",Finished Data Analytics with Python Course,"Samuel Pham is part of the Legal team, based in Ho Chi Minh City, Vietnam, and recently finished data analytics with python course."
Tina Pham,Management,"Jakarta, Indonesia",Spoke at the Annual Finance Forum,"Tina Pham is part of the Management team, based in Jakarta, Indonesia, and recently spoke at the annual finance forum."
Bob Huynh,Marketing,"Ho Chi Minh City, Vietnam",Joined Cross-Cultural Communication Workshop,"Bob Huynh is part of the Marketing team, based in Ho Chi Minh City, Vietnam, and recently joined cross-cultural communication workshop."
Samuel Phan,Engineering,"Jakarta, Indonesia",Joined International Business Roundtable,"Samuel Phan is part of the Engineering team, based in Jakarta, Indonesia, and recently joined international business roundtable."
Laura Hoang,Product,"Bangalore, India",Completed Leadership Training Bootcamp,"Laura Hoang is part of the Product team, based in Bangalore, India, and recently completed leadership training bootcamp."
Victor Phan,Finance,"Da Nang, Vietnam",Joined International Business Roundtable,"Victor Phan is part of the Finance team, based in Da Nang, Vietnam, and recently joined international business roundtable."
Quinn Pham,Management,"Manila, Philippines",Spoke at the Annual Finance Forum,"Quinn Pham is part of the Management team, based in Manila, Philippines, and recently spoke at the annual finance forum."
Isaac Hoang,Marketing,"Berlin, Germany",Spoke at the Annual Finance Forum,"Isaac Hoang is part of the Marketing team, based in Berlin, Germany, and recently spoke at the annual finance forum."
Fiona Ngo,Legal,"Jakarta, Indonesia",Completed Advanced Cybersecurity Training,"Fiona Ngo is part of the Legal team, based in Jakarta, Indonesia, and recently completed advanced cybersecurity training."
Julia Dang,Product,"Jakarta, Indonesia",Completed Leadership Training Bootcamp,"Julia Dang is part of the Product team, based in Jakarta, Indonesia, and recently completed leadership training bootcamp."
Victor Ta,Sales,"Bangalore, India",Completed Leadership Training Bootcamp,"Victor Ta is part of the Sales team, based in Bangalore, India, and recently completed leadership training bootcamp."
Quinn Ton,Operations,"Berlin, Germany",Joined Team Building Offsite in Da Nang,"Quinn Ton is part of the Operations team, based in Berlin, Germany, and recently joined team building offsite in da nang."
Paul Nguyen,Legal,"Sydney, Australia",Completed Leadership Training Bootcamp,"Paul Nguyen is part of the Legal team, based in Sydney, Australia, and recently completed leadership training bootcamp."
Diana Phan,Sales,Singapore,Completed Advanced Cybersecurity Training,"Diana Phan is part of the Sales team, based in Singapore, and recently completed advanced cybersecurity training."
Bob Pham,Product,"Bangalore, India",Completed Emotional Intelligence Training,"Bob Pham is part of the Product team, based in Bangalore, India, and recently completed emotional intelligence training."
Rachel Mai,Legal,"London, UK",Completed AWS Cloud Practitioner Certification,"Rachel Mai is part of the Legal team, based in London, UK, and recently completed aws cloud practitioner certification."
Charlie Phan,Data Science,"Mumbai, India",Participated in Regional Hackathon 2024,"Charlie Phan is part of the Data Science team, based in Mumbai, India, and recently participated in regional hackathon 2024."
Nathan Le,Human Resources,"Melbourne, Australia",Completed AWS Cloud Practitioner Certification,"Nathan Le is part of the Human Resources team, based in Melbourne, Australia, and recently completed aws cloud practitioner certification."
Hannah Tran,Human Resources,"Beijing, China",Engaged in Blockchain for Finance Webinar,"Hannah Tran is part of the Human Resources team, based in Beijing, China, and recently engaged in blockchain for finance webinar."
Laura Ta,Product,"Sydney, Australia",Joined Global Marketing Summit,"Laura Ta is part of the Product team, based in Sydney, Australia, and recently joined global marketing summit."
Kevin Ngo,Legal,"Shanghai, China",Joined International Business Roundtable,"Kevin Ngo is part of the Legal team, based in Shanghai, China, and recently joined international business roundtable."
Alice Luong,Operations,"Hanoi, Vietnam",Finished Data Analytics with Python Course,"Alice Luong is part of the Operations team, based in Hanoi, Vietnam, and recently finished data analytics with python course."
Alice Vu,Sales,"Seoul, South Korea",Engaged in Blockchain for Finance Webinar,"Alice Vu is part of the Sales team, based in Seoul, South Korea, and recently engaged in blockchain for finance webinar."
Charlie Trinh,Product,"Tokyo, Japan",Volunteered at Community Tech Fair,"Charlie Trinh is part of the Product team, based in Tokyo, Japan, and recently volunteered at community tech fair."
Laura Trinh,Legal,"Mumbai, India",Presented at Internal Innovation Day,"Laura Trinh is part of the Legal team, based in Mumbai, India, and recently presented at internal innovation day."
Tina Huynh,Customer Success,"Kuala Lumpur, Malaysia",Completed Advanced Cybersecurity Training,"Tina Huynh is part of the Customer Success team, based in Kuala Lumpur, Malaysia, and recently completed advanced cybersecurity training."
Hannah Hoang,Data Science,"New Delhi, India",Participated in Regional Hackathon 2024,"Hannah Hoang is part of the Data Science team, based in New Delhi, India, and recently participated in regional hackathon 2024."
Alice Ton,Engineering,"Mumbai, India",Attended Agile Project Management Workshop,"Alice Ton is part of the Engineering team, based in Mumbai, India, and recently attended agile project management workshop."
Bob Chau,Marketing,"Mumbai, India",Joined International Business Roundtable,"Bob Chau is part of the Marketing team, based in Mumbai, India, and recently joined international business roundtable."
Hannah Phan,Operations,"Melbourne, Australia",Presented at Internal Innovation Day,"Hannah Phan is part of the Operations team, based in Melbourne, Australia, and recently presented at internal innovation day."
Laura Luong,Operations,"Paris, France",Participated in Regional Hackathon 2024,"Laura Luong is part of the Operations team, based in Paris, France, and recently participated in regional hackathon 2024."
Hannah Ngo,Product,Singapore,Finished Data Analytics with Python Course,"Hannah Ngo is part of the Product team, based in Singapore, and recently finished data analytics with python course."
Olivia Nguyen,Customer Success,"Manila, Philippines",Joined Cross-Cultural Communication Workshop,"Olivia Nguyen is part of the Customer Success team, based in Manila, Philippines, and recently joined cross-cultural communication workshop."
Kevin Nguyen,Engineering,"Melbourne, Australia",Joined Global Marketing Summit,"Kevin Nguyen is part of the Engineering team, based in Melbourne, Australia, and recently joined global marketing summit."
Rachel Do,Sales,"Paris, France",Presented at Machine Learning Meetup,"Rachel Do is part of the Sales team, based in Paris, France, and recently presented at machine learning meetup."
Tina Vu,Data Science,"Berlin, Germany",Attended UX/UI Design Masterclass,"Tina Vu is part of the Data Science team, based in Berlin, Germany, and recently attended ux/ui design masterclass."
Bob Dang,Marketing,"Jakarta, Indonesia",Attended Agile Project Management Workshop,"Bob Dang is part of the Marketing team, based in Jakarta, Indonesia, and recently attended agile project management workshop."
Paul Pham,Data Science,"Mumbai, India",Attended Remote Work Productivity Webinar,"Paul Pham is part of the Data Science team, based in Mumbai, India, and recently attended remote work productivity webinar."
Rachel Nguyen,Human Resources,"Ho Chi Minh City, Vietnam",Participated in Regional Hackathon 2024,"Rachel Nguyen is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently participated in regional hackathon 2024."
Bob Do,Management,"Paris, France",Joined International Business Roundtable,"Bob Do is part of the Management team, based in Paris, France, and recently joined international business roundtable."
Rachel Bui,Data Science,"Seoul, South Korea",Attended AI for Business Leaders Webinar,"Rachel Bui is part of the Data Science team, based in Seoul, South Korea, and recently attended ai for business leaders webinar."
Kevin Bui,Data Science,Singapore,Engaged in Blockchain for Finance Webinar,"Kevin Bui is part of the Data Science team, based in Singapore, and recently engaged in blockchain for finance webinar."
Victor Le,Legal,"Bangalore, India",Completed Emotional Intelligence Training,"Victor Le is part of the Legal team, based in Bangalore, India, and recently completed emotional intelligence training."
Hannah Ton,Marketing,"Shanghai, China",Attended UX/UI Design Masterclass,"Hannah Ton is part of the Marketing team, based in Shanghai, China, and recently attended ux/ui design masterclass."
Laura Luong,Legal,"Beijing, China",Joined Team Building Offsite in Da Nang,"Laura Luong is part of the Legal team, based in Beijing, China, and recently joined team building offsite in da nang."
Laura Dang,Engineering,"Shanghai, China",Completed Advanced Cybersecurity Training,"Laura Dang is part of the Engineering team, based in Shanghai, China, and recently completed advanced cybersecurity training."
Tina Ngo,Operations,"Beijing, China",Attended UX/UI Design Masterclass,"Tina Ngo is part of the Operations team, based in Beijing, China, and recently attended ux/ui design masterclass."
Olivia Bui,Management,"Melbourne, Australia",Completed Emotional Intelligence Training,"Olivia Bui is part of the Management team, based in Melbourne, Australia, and recently completed emotional intelligence training."
Hannah Vu,Product,"Melbourne, Australia",Completed Emotional Intelligence Training,"Hannah Vu is part of the Product team, based in Melbourne, Australia, and recently completed emotional intelligence training."
Fiona Truong,Marketing,"Hanoi, Vietnam",Finished Data Analytics with Python Course,"Fiona Truong is part of the Marketing team, based in Hanoi, Vietnam, and recently finished data analytics with python course."
Alice Phan,Customer Success,"Ho Chi Minh City, Vietnam",Joined Global Marketing Summit,"Alice Phan is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently joined global marketing summit."
George Luong,Finance,Singapore,Joined Team Building Offsite in Da Nang,"George Luong is part of the Finance team, based in Singapore, and recently joined team building offsite in da nang."
Victor Bui,Finance,"Seoul, South Korea",Attended UX/UI Design Masterclass,"Victor Bui is part of the Finance team, based in Seoul, South Korea, and recently attended ux/ui design masterclass."
